变量,年份,省份,Local_Moran_I,置换p值,象限,显著聚类类型
高质量发展指数,2017,山东,0.07848647300144687,0.384,HH,不显著
高质量发展指数,2017,河南,0.0005839108966519763,0.494,LL,不显著
高质量发展指数,2017,湖北,-0.07090797058930084,0.404,HL,不显著
高质量发展指数,2017,湖南,-0.004253662464147988,0.489,LH,不显著
高质量发展指数,2017,广东,-0.04747816025704119,0.49,HL,不显著
高质量发展指数,2017,广西,0.0772313192918501,0.244,LL,不显著
高质量发展指数,2017,海南,0.11081990231833183,0.211,HH,不显著
高质量发展指数,2017,重庆,-0.03574514231489857,0.359,HL,不显著
高质量发展指数,2017,四川,0.28777202236320454,0.003,LL,LL
高质量发展指数,2017,贵州,0.3243432432121048,0.189,LL,不显著
高质量发展指数,2017,云南,0.7157736212179402,0.033,LL,LL
高质量发展指数,2017,西藏,0.9818133786598104,0.044,LL,LL
高质量发展指数,2017,陕西,-0.04837975303798014,0.139,HL,不显著
高质量发展指数,2017,甘肃,0.4538637502213668,0.068,LL,不显著
高质量发展指数,2017,青海,0.9465774034296847,0.028,LL,LL
高质量发展指数,2017,宁夏,0.3377440726690085,0.232,LL,不显著
高质量发展指数,2017,新疆,0.026915907867795807,0.001,LL,LL
高质量发展指数,2018,北京,0.42349431226926,0.311,HH,不显著
高质量发展指数,2018,天津,1.2288353702580568,0.047,HH,HH
高质量发展指数,2018,河北,-0.37966328140695227,0.076,LH,不显著
高质量发展指数,2018,山西,0.25459740977357076,0.172,LL,不显著
高质量发展指数,2018,内蒙古,0.2765104869571288,0.021,LL,LL
高质量发展指数,2018,辽宁,-0.11445718010264791,0.128,HL,不显著
高质量发展指数,2018,吉林,0.23644623967097209,0.208,LL,不显著
高质量发展指数,2018,黑龙江,0.500023800117628,0.203,LL,不显著
高质量发展指数,2018,上海,2.179382553299145,0.034,HH,HH
高质量发展指数,2018,江苏,1.451860536769478,0.03,HH,HH
高质量发展指数,2018,浙江,0.8782898491854212,0.049,HH,HH
高质量发展指数,2018,安徽,0.03093836095323737,0.075,HH,不显著
高质量发展指数,2018,福建,0.2916217632566469,0.161,HH,不显著
高质量发展指数,2018,江西,-0.14071489570054155,0.108,LH,不显著
高质量发展指数,2018,山东,0.0728807027269866,0.356,HH,不显著
高质量发展指数,2018,河南,0.008575574817419064,0.489,LL,不显著
高质量发展指数,2018,湖北,-0.029622453144045442,0.492,HL,不显著
高质量发展指数,2018,湖南,-0.00037522230862104775,0.435,LH,不显著
高质量发展指数,2018,广东,-0.001980640863632018,0.436,HL,不显著
高质量发展指数,2018,广西,0.023460530705548814,0.279,LL,不显著
高质量发展指数,2018,海南,-0.11289080175328611,0.19,LH,不显著
高质量发展指数,2018,重庆,-0.02872232366403788,0.438,HL,不显著
高质量发展指数,2018,四川,0.15226345543872388,0.011,LL,LL
高质量发展指数,2018,贵州,0.1536997274403177,0.319,LL,不显著
高质量发展指数,2018,云南,0.6399837568577336,0.042,LL,LL
高质量发展指数,2018,西藏,1.0423706984554428,0.056,LL,不显著
高质量发展指数,2018,陕西,-0.03836068886311542,0.112,HL,不显著
高质量发展指数,2018,甘肃,0.4844701466441654,0.08,LL,不显著
高质量发展指数,2018,青海,0.9438056630504463,0.033,LL,LL
高质量发展指数,2018,宁夏,0.47517836294971394,0.19,LL,不显著
高质量发展指数,2018,新疆,0.05182928427693154,0.001,LL,LL
高质量发展指数,2019,北京,-1.5751015048800512,0.256,HL,不显著
高质量发展指数,2019,天津,-0.002850185791042119,0.063,LH,不显著
高质量发展指数,2019,河北,-0.3339032557273633,0.169,LH,不显著
高质量发展指数,2019,山西,0.29576240321908065,0.133,LL,不显著
高质量发展指数,2019,内蒙古,0.2790677272386643,0.012,LL,LL
高质量发展指数,2019,辽宁,0.021116266786243496,0.082,LL,不显著
高质量发展指数,2019,吉林,0.3398919570088332,0.149,LL,不显著
高质量发展指数,2019,黑龙江,0.5838063759597424,0.148,LL,不显著
高质量发展指数,2019,上海,2.3473332597707275,0.049,HH,HH
高质量发展指数,2019,江苏,1.4312704520106732,0.046,HH,HH
高质量发展指数,2019,浙江,0.8544725553301818,0.056,HH,不显著
高质量发展指数,2019,安徽,-0.047968437914186444,0.088,LH,不显著
高质量发展指数,2019,福建,0.22527639796538831,0.185,HH,不显著
高质量发展指数,2019,江西,-0.0814325187811986,0.127,LH,不显著
高质量发展指数,2019,山东,0.03324224952505928,0.387,HH,不显著
高质量发展指数,2019,河南,0.04344693879005506,0.424,LL,不显著
高质量发展指数,2019,湖北,-0.0002948735747221123,0.465,HL,不显著
高质量发展指数,2019,湖南,0.0035680078672793145,0.458,HH,不显著
高质量发展指数,2019,广东,0.030235494881794042,0.376,HH,不显著
高质量发展指数,2019,广西,0.03462900755300047,0.285,LL,不显著
高质量发展指数,2019,海南,-0.03148721036401196,0.249,LH,不显著
高质量发展指数,2019,重庆,-0.029541406159766397,0.494,HL,不显著
高质量发展指数,2019,四川,0.07749039801077624,0.005,LL,LL
高质量发展指数,2019,贵州,0.07105079888288554,0.435,LL,不显著
高质量发展指数,2019,云南,0.6602291893965452,0.029,LL,LL
高质量发展指数,2019,西藏,0.823191830499258,0.09,LL,不显著
高质量发展指数,2019,陕西,0.011087499045330493,0.181,LL,不显著
高质量发展指数,2019,甘肃,0.2792481535908557,0.153,LL,不显著
高质量发展指数,2019,青海,0.6274532875791291,0.046,LL,LL
高质量发展指数,2019,宁夏,0.2889923090146763,0.192,LL,不显著
高质量发展指数,2019,新疆,-0.19223458852731495,0.002,HL,HL
高质量发展指数,2020,北京,-0.08972583811101634,0.451,HL,不显著
高质量发展指数,2020,天津,1.02496492424051,0.098,HH,不显著
高质量发展指数,2020,河北,-0.4908911031398368,0.109,LH,不显著
高质量发展指数,2020,山西,0.3843726229180254,0.14,LL,不显著
高质量发展指数,2020,内蒙古,0.3510118273083719,0.01,LL,LL
高质量发展指数,2020,辽宁,-0.015373320982980132,0.079,HL,不显著
高质量发展指数,2020,吉林,0.2787433579727795,0.154,LL,不显著
高质量发展指数,2020,黑龙江,0.5690822170827364,0.192,LL,不显著
高质量发展指数,2020,上海,2.3092901606114875,0.043,HH,HH
高质量发展指数,2020,江苏,1.6998621493294568,0.024,HH,HH
高质量发展指数,2020,浙江,0.8880285856172659,0.034,HH,HH
高质量发展指数,2020,安徽,0.19488059955374398,0.064,HH,不显著
高质量发展指数,2020,福建,0.1889887456488966,0.179,HH,不显著
高质量发展指数,2020,江西,-0.0965427186686342,0.09,LH,不显著
高质量发展指数,2020,山东,0.15265184486426447,0.312,HH,不显著
高质量发展指数,2020,河南,0.02117492962723074,0.432,LL,不显著
高质量发展指数,2020,湖北,0.0024055878826484923,0.47,HH,不显著
高质量发展指数,2020,湖南,-0.034358053833406337,0.444,HL,不显著
高质量发展指数,2020,广东,0.026219758484890863,0.429,HH,不显著
高质量发展指数,2020,广西,0.02809609099720799,0.385,LL,不显著
高质量发展指数,2020,海南,-0.11316287974874677,0.255,LH,不显著
高质量发展指数,2020,重庆,0.008925770886717026,0.464,LL,不显著
高质量发展指数,2020,四川,0.13077428389285242,0.004,LL,LL
高质量发展指数,2020,贵州,0.15480907787502216,0.276,LL,不显著
高质量发展指数,2020,云南,0.6519870047344056,0.045,LL,LL
高质量发展指数,2020,西藏,0.9716271960481929,0.062,LL,不显著
高质量发展指数,2020,陕西,-0.015675222711385123,0.067,HL,不显著
高质量发展指数,2020,甘肃,0.3891145803198352,0.104,LL,不显著
高质量发展指数,2020,青海,0.8092480237619948,0.041,LL,LL
高质量发展指数,2020,宁夏,0.34965863166966055,0.181,LL,不显著
高质量发展指数,2020,新疆,-0.03700224895511282,0.003,HL,HL
累计农业TFP,2017,北京,-0.14149592885873125,0.15,HL,不显著
累计农业TFP,2017,天津,0.16856864949880634,0.247,LL,不显著
累计农业TFP,2017,河北,0.16092380431902348,0.25,LL,不显著
累计农业TFP,2017,山西,-0.25559938469796734,0.259,HL,不显著
累计农业TFP,2017,内蒙古,0.22734295081283448,0.113,LL,不显著
累计农业TFP,2017,辽宁,2.3379635269182804,0.008,LL,LL
累计农业TFP,2017,吉林,0.9790079828395367,0.169,LL,不显著
累计农业TFP,2017,黑龙江,-2.236533108632479,0.013,HL,HL
累计农业TFP,2017,上海,-0.021009854741310518,0.451,HL,不显著
累计农业TFP,2017,江苏,-0.02990664824078931,0.327,LH,不显著
累计农业TFP,2017,浙江,0.0018034914990746331,0.491,HH,不显著
累计农业TFP,2017,安徽,-0.0006154692435182967,0.417,HL,不显著
累计农业TFP,2017,福建,0.026117620955841626,0.345,LL,不显著
累计农业TFP,2017,江西,0.12752227925477538,0.122,LL,不显著
累计农业TFP,2017,山东,-0.034434657645691466,0.281,HL,不显著
累计农业TFP,2017,河南,0.002958494617200893,0.5,HH,不显著
累计农业TFP,2017,湖北,0.08870274866389846,0.126,LL,不显著
累计农业TFP,2017,湖南,-0.5118697421830672,0.328,LH,不显著
累计农业TFP,2017,广东,0.04388876962193153,0.282,LL,不显著
累计农业TFP,2017,广西,-0.022400947134818418,0.488,HL,不显著
累计农业TFP,2017,海南,0.01018795020683001,0.337,LL,不显著
累计农业TFP,2017,重庆,0.04295556022607478,0.398,LL,不显著
累计农业TFP,2017,四川,0.051405887792130206,0.115,HH,不显著
累计农业TFP,2017,贵州,-0.09276131117414203,0.451,HL,不显著
累计农业TFP,2017,云南,0.6029277183728571,0.012,HH,HH
累计农业TFP,2017,西藏,0.3694158295966186,0.029,HH,HH
累计农业TFP,2017,陕西,-0.0007758531846936849,0.493,HL,不显著
累计农业TFP,2017,甘肃,-0.2791102759183827,0.083,LH,不显著
累计农业TFP,2017,青海,0.33487097641213687,0.241,HH,不显著
累计农业TFP,2017,宁夏,-0.2622748213415987,0.268,HL,不显著
累计农业TFP,2017,新疆,0.39514249007121593,0.267,HH,不显著
累计农业TFP,2018,北京,-0.05454444890705245,0.216,LH,不显著
累计农业TFP,2018,天津,0.034930823845631793,0.358,HH,不显著
累计农业TFP,2018,河北,-0.08581627449203602,0.249,HL,不显著
累计农业TFP,2018,山西,0.017886779727522853,0.419,LL,不显著
累计农业TFP,2018,内蒙古,0.11142675674927764,0.266,LL,不显著
累计农业TFP,2018,辽宁,0.6793302479284564,0.099,LL,不显著
累计农业TFP,2018,吉林,0.8132349465387302,0.138,LL,不显著
累计农业TFP,2018,黑龙江,-0.18363904544853563,0.026,HL,HL
累计农业TFP,2018,上海,-0.3648759511177554,0.297,HL,不显著
累计农业TFP,2018,江苏,0.016377646767469476,0.484,LL,不显著
累计农业TFP,2018,浙江,0.03853211579284761,0.296,LL,不显著
累计农业TFP,2018,安徽,0.23094630288999998,0.122,LL,不显著
累计农业TFP,2018,福建,0.05402476343993743,0.297,LL,不显著
累计农业TFP,2018,江西,0.3165744101416437,0.049,LL,LL
累计农业TFP,2018,山东,0.05733884419427649,0.286,LL,不显著
累计农业TFP,2018,河南,0.051551312694158816,0.29,LL,不显著
累计农业TFP,2018,湖北,0.36013327620922597,0.028,LL,LL
累计农业TFP,2018,湖南,0.15638679678411757,0.369,LL,不显著
累计农业TFP,2018,广东,0.13970653882472447,0.124,LL,不显著
累计农业TFP,2018,广西,0.41072588153543993,0.104,HH,不显著
累计农业TFP,2018,海南,0.1911083089466845,0.419,LL,不显著
累计农业TFP,2018,重庆,0.27582229929206165,0.172,LL,不显著
累计农业TFP,2018,四川,-0.35647465232722486,0.026,LH,LH
累计农业TFP,2018,贵州,0.25963757788788716,0.222,HH,不显著
累计农业TFP,2018,云南,1.8560533599411477,0.03,HH,HH
累计农业TFP,2018,西藏,1.2190396513108026,0.011,HH,HH
累计农业TFP,2018,陕西,0.038385481819372506,0.264,LL,不显著
累计农业TFP,2018,甘肃,-0.18597677031762572,0.19,LH,不显著
累计农业TFP,2018,青海,0.1908530927615992,0.239,HH,不显著
累计农业TFP,2018,宁夏,-0.6469457472185799,0.251,HL,不显著
累计农业TFP,2018,新疆,0.3801936994498741,0.146,HH,不显著
累计农业TFP,2019,北京,-0.07403210567189375,0.309,LH,不显著
累计农业TFP,2019,天津,0.0012411614147521501,0.472,LL,不显著
累计农业TFP,2019,河北,-0.1269332465387099,0.067,HL,不显著
累计农业TFP,2019,山西,0.062202214374373795,0.325,LL,不显著
累计农业TFP,2019,内蒙古,0.20676391480221112,0.221,LL,不显著
累计农业TFP,2019,辽宁,0.6304226673439999,0.082,LL,不显著
累计农业TFP,2019,吉林,0.6486223751348101,0.087,LL,不显著
累计农业TFP,2019,黑龙江,-0.2820523025688791,0.008,HL,HL
累计农业TFP,2019,上海,-0.11833894330550655,0.218,HL,不显著
累计农业TFP,2019,江苏,0.24549905188300308,0.311,LL,不显著
累计农业TFP,2019,浙江,0.029336590348267255,0.121,LL,不显著
累计农业TFP,2019,安徽,0.318255484211298,0.082,LL,不显著
累计农业TFP,2019,福建,0.031984067451185406,0.452,LL,不显著
累计农业TFP,2019,江西,0.18527547048516713,0.1,LL,不显著
累计农业TFP,2019,山东,0.16912857605867895,0.159,LL,不显著
累计农业TFP,2019,河南,0.059652699065138204,0.204,LL,不显著
累计农业TFP,2019,湖北,0.20909655392769683,0.028,LL,LL
累计农业TFP,2019,湖南,-0.008059163133787097,0.474,LH,不显著
累计农业TFP,2019,广东,0.017690530410233184,0.234,LL,不显著
累计农业TFP,2019,广西,0.38612373313966053,0.044,HH,HH
累计农业TFP,2019,海南,0.026253678692715162,0.342,LL,不显著
累计农业TFP,2019,重庆,0.13011445956704001,0.293,LL,不显著
累计农业TFP,2019,四川,-0.5988116611933048,0.002,LH,LH
累计农业TFP,2019,贵州,0.3902889906930497,0.171,HH,不显著
累计农业TFP,2019,云南,2.1935107178418964,0.03,HH,HH
累计农业TFP,2019,西藏,2.1874327596376397,0.004,HH,HH
累计农业TFP,2019,陕西,0.10110551331058655,0.135,LL,不显著
累计农业TFP,2019,甘肃,-0.06568693047850022,0.253,LH,不显著
累计农业TFP,2019,青海,0.5724929231723762,0.195,HH,不显著
累计农业TFP,2019,宁夏,-0.2936406604737378,0.193,HL,不显著
累计农业TFP,2019,新疆,0.24882195097555576,0.031,HH,HH
累计农业TFP,2020,北京,-0.271348488527195,0.267,LH,不显著
累计农业TFP,2020,天津,-0.0801341433259592,0.313,HL,不显著
累计农业TFP,2020,河北,-0.1412876067786285,0.049,HL,HL
累计农业TFP,2020,山西,-0.004574718262306553,0.451,HL,不显著
累计农业TFP,2020,内蒙古,0.06596208959215408,0.424,LL,不显著
累计农业TFP,2020,辽宁,0.44377436560287836,0.256,LL,不显著
累计农业TFP,2020,吉林,0.31675964215022473,0.064,LL,不显著
累计农业TFP,2020,黑龙江,-0.11545466180692876,0.126,HL,不显著
累计农业TFP,2020,上海,0.2616770439123978,0.128,LL,不显著
累计农业TFP,2020,江苏,0.5165294502839405,0.099,LL,不显著
累计农业TFP,2020,浙江,0.11648339408647379,0.032,LL,LL
累计农业TFP,2020,安徽,0.3324408400626538,0.078,LL,不显著
累计农业TFP,2020,福建,0.07042554550241613,0.377,LL,不显著
累计农业TFP,2020,江西,0.20123483204089226,0.138,LL,不显著
累计农业TFP,2020,山东,0.19840050362580136,0.208,LL,不显著
累计农业TFP,2020,河南,-0.025428648330496743,0.284,HL,不显著
累计农业TFP,2020,湖北,0.14509845240627423,0.134,LL,不显著
累计农业TFP,2020,湖南,-0.010511244758017936,0.426,LH,不显著
累计农业TFP,2020,广东,0.015448453158759009,0.171,LL,不显著
累计农业TFP,2020,广西,0.12593344955917188,0.034,HH,HH
累计农业TFP,2020,海南,0.02586838727021247,0.427,LL,不显著
累计农业TFP,2020,重庆,0.011614767673162394,0.464,LL,不显著
累计农业TFP,2020,四川,-0.2732890491431329,0.001,LH,LH
累计农业TFP,2020,贵州,0.5440213958813611,0.128,HH,不显著
累计农业TFP,2020,云南,1.5564865355211412,0.091,HH,不显著
累计农业TFP,2020,西藏,1.236349399893937,0.004,HH,HH
累计农业TFP,2020,陕西,0.021054469878470473,0.41,LL,不显著
累计农业TFP,2020,甘肃,-0.12500949476518294,0.138,LH,不显著
累计农业TFP,2020,青海,0.28648436601926514,0.254,HH,不显著
累计农业TFP,2020,宁夏,-0.4985350731000253,0.214,HL,不显著
累计农业TFP,2020,新疆,0.10843877609931467,0.044,HH,HH
